id,name,short_hand,type,ratio_to_parent,ratio_type,parent_id
7c92d2c2-634b-4e5c-a8fb-04036aca7684,kilocalories(th)/minute,NULL,POWER,69.73333333333333,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
2a204d86-2410-4dc5-b66c-fa2c1b104271,kilogram-force meters/hour,NULL,POWER,0.002724,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
55e4059e-aa60-416c-98bd-3bd8f6d8f620,kilogram-force meters/minute,NULL,POWER,0.163444,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
f7bb481a-3baf-4b69-a74e-15967c251a7b,kilowatts,kW,POWER,1000,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
2863cf54-baff-4286-b615-51f6d51160ce,megawatts,MW,POWER,1000000,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
11f97f81-0ff7-4141-b297-34116efbb74d,terawatts,TW,POWER,1000000000000,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
bd361743-da55-4229-8a21-3a65fe9e38c9,ton of refrigeration,TR,POWER,3516.853,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
950df506-6bef-4bfe-b21d-cd297c4f10a1,petawatts,PW,POWER,1000000000000000,BIG_DECIMAL,6be62578-f7e0-4e0f-9fba-8fe16975e910
c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3,pascals,Pa,PRESSURE,NULL,NULL,NULL
6a22d733-d8a3-4442-af78-740d5ece3110,atmospheres,atm,PRESSURE,101325,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
bc9dfe46-efef-482e-aca8-371cafe9d355,bars,NULL,PRESSURE,100000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
df7c53d4-d39b-4e39-9790-7ef496eb3c75,centimeters mercury,NULL,PRESSURE,1333.22,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
8661ad9c-827f-47e6-889d-e761e785bef6,centimeters water,NULL,PRESSURE,98.0665,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
82e1bbdd-02a3-4156-aa96-da634cae482e,feet of water,NULL,PRESSURE,2989.06692,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
91cf52da-e081-4f38-9398-1fd20580aff8,hectopascals,hPa,PRESSURE,100,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
616f5663-d134-41b7-ae82-c1f1c6cc7f99,inches of water,NULL,PRESSURE,249.08891,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
bf9a87d4-9863-49bb-acdc-eb5fa1fe84e5,inches of mercury,NULL,PRESSURE,3386.388,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
1a1ff484-5ce8-49a7-b8db-017332773952,kilogram-forces/sq.centimeter,NULL,PRESSURE,98066.5,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
7070a4c1-d187-45f1-812b-ed3de311d606,kilogram-forces/sq.meter,NULL,PRESSURE,9.80665,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
20f8fd6d-1640-4c55-8db0-2ad133585b5f,kilonewtons/sq.meter,NULL,PRESSURE,1000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
8b97bdb1-f6f2-4147-8043-3389c98de742,kilonewtons/sq.millimeter,NULL,PRESSURE,1000000000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
f5128be1-6414-4d7b-8782-d2cf0e1af45c,kilopascals [kPa],NULL,PRESSURE,1000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
e70ddc47-e6c0-446c-add9-88590718a90b,kips/sq.inch,NULL,PRESSURE,6894760,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
d56861f2-235c-4ee8-9013-0dd15e45cecb,meganewtons/sq.meter,NULL,PRESSURE,1000000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
becf063b-c903-4f5c-9a06-67665d3d5c06,meganewtons/sq.millimeter,NULL,PRESSURE,1000000000000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
fd052eb1-d21e-4e9f-a7bb-6f5a13210459,megapascals [MPa],NULL,PRESSURE,1000000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
25c590cf-30e5-4c8d-a041-7c012130341b,meters of water,NULL,PRESSURE,9806.65,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
54158bed-d0f0-4ce8-8365-c6b5325fad1c,millibars,NULL,PRESSURE,100,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
d627ee00-8906-4811-afcc-bc473869ab64,millimeters of mercury,mmHg,PRESSURE,133.322,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
68b93903-0d7e-4680-a14c-fecdb98dca96,millimeters of water,NULL,PRESSURE,9.80665,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
8eb8eda1-8f56-4a40-98d7-6bc74083298a,newtons/sq.centimeter,N/cm²,PRESSURE,10000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
aa4ea2f1-411d-486f-b5ea-1fd8aae9b254,newtons/sq.meter,N/m²,PRESSURE,1,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
0a299d06-9f78-4545-bc83-24e1fee015f4,newtons/sq.millimeter,N/mm²,PRESSURE,1000000,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
83aa6549-922f-4657-85d8-e551c5c86cd4,pounds-force/sq.foot,psf,PRESSURE,47.880258980335846,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
bb2b8b5b-7829-4a06-8e54-cc13e639e078,pounds-force/sq.inch,psi,PRESSURE,6894.757293168362,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
08293152-06f1-4a24-8aac-1a5e34e3afc7,poundals/sq.foot,NULL,PRESSURE,1.44816,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
47699b32-2afd-4ded-9775-8df0304f850c,tons (UK)-force/sq.foot,NULL,PRESSURE,107251,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
7b630bce-3222-4a33-b750-26208311f27f,tons (UK)-force/sq.inch,NULL,PRESSURE,15444300,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
e13408e6-8669-4364-8dd9-86449904dabe,tons (US)-force/sq.foot,NULL,PRESSURE,95760,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
ab3a757e-71ad-49d9-8396-afe3d9d4a86b,tons (US)-force/sq.inch,NULL,PRESSURE,13789500,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
37d851db-4527-477c-89c5-36a451b588cf,tonnes-force/sq.cm,NULL,PRESSURE,98066500,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
c913b969-5d0c-4d0a-af77-99f868381ab8,tonnes-force/sq.meter,NULL,PRESSURE,9806.65,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
a0b656bf-2768-49d7-bdb0-238d043b5ffa,torr (mm Hg 0°C),NULL,PRESSURE,133.322,BIG_DECIMAL,c0c5c697-0b5f-415f-b5ac-e9259a5ce4f3
2ed46051-5df9-413c-b998-ef4f24ab4fb2,meters/second,m/s,SPEED,NULL,NULL,NULL
12782e16-84d7-46cb-9648-167c030be4d4,centimeters/minute,NULL,SPEED,0.00016666666666666666,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
3ad2ee00-9919-43da-9e64-2b01a07d11bf,centimeters/second,NULL,SPEED,0.01,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
9c922f39-7bc1-47ea-8bdc-3fd320145e44,feet/hour,NULL,SPEED,0.00008466683600033866,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
a546b837-de69-4f36-87ff-e8bb2d325d5b,feet/minute,NULL,SPEED,0.00508,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
17fc988a-ae12-486b-a720-d294314f5762,feet/second,ft/s,SPEED,0.3048,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
5ef7f0cf-a47d-4233-901e-4bac29babc13,inches/minute,NULL,SPEED,0.0004233341800016934,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
7d5db2d0-752c-4e4c-bd6b-f3d69aaf1a60,inches/second,NULL,SPEED,0.0254,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
5f0f753f-9e66-473f-8a5a-8a6ebd8ae1ce,kilometers/hour,km/h,SPEED,0.2777777777777778,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
ebf1e132-977b-4f59-aa7c-d06b98a2cec0,kilometers/second,NULL,SPEED,1000,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
eaa4c14b-7291-42ed-89fd-e381fa965112,knots,kn,SPEED,0.5144444444444445,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
3dc0f3e8-7fe9-486a-99ba-379f571f32b4,Mach number (ISA/Sea level),NULL,SPEED,340.2933,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
34525473-2ec4-4b58-bc60-685e72fe4c73,meters/hour,m/h,SPEED,0.0002777777777777778,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
8a6ad99f-daa2-49f3-babe-e1e91d59aa95,meters/minute,NULL,SPEED,0.016666666666666666,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
81e2ae55-d414-4518-8965-8dfb55954fcd,miles/hour,mph,SPEED,0.44704,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
7ca69206-e70e-4e24-905c-fcdc8e14ce0a,miles/minute,NULL,SPEED,26.8224,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
6c6f7184-de62-4815-8687-f52025f32963,miles/second,NULL,SPEED,1609.344,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
478a81a9-9549-4a81-b791-1941f89a3a8d,nautical miles/hour,NULL,SPEED,0.5144444444444445,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
060e5bb7-2d62-4534-9c21-242ff2a4559f,Nm/24hr,NULL,SPEED,0.021435185185185186,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
9e561ddf-e8f3-4bf4-8a1e-49c9f3992354,speed of light,NULL,SPEED,299790000,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
3b560b80-ae2e-4af6-8321-035a726fdeb5,speed of sound,NULL,SPEED,343,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
91080071-5dec-41dd-bdb7-42a76fc5d75d,yards/hour,NULL,SPEED,0.000254000508001016,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
bacda02f-47e3-4f03-8749-3b4dbc14d622,yards/minute,NULL,SPEED,0.01524,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
09040f01-bb36-45ca-bf3b-5418e1b3bf36,yards/second,NULL,SPEED,0.9144,BIG_DECIMAL,2ed46051-5df9-413c-b998-ef4f24ab4fb2
b1313d6f-190f-4943-81f8-dbd82773ae4d,Celsius,°C,TEMPERATURE,NULL,NULL,NULL
c4df1cc0-59db-4dbf-acb8-6d722977b9b2,Fahrenheit,°F,TEMPERATURE,5/9 * (${value} + 459.67),EXPRESSION,b1313d6f-190f-4943-81f8-dbd82773ae4d
60695019-c44a-4b53-9f68-56036bce44ac,Kelvin,K,TEMPERATURE,1,BIG_DECIMAL,b1313d6f-190f-4943-81f8-dbd82773ae4d
2e198d80-d419-4a8e-a05e-785fd1241f48,Rankine,°R,TEMPERATURE,5/9 * ${value},EXPRESSION,b1313d6f-190f-4943-81f8-dbd82773ae4d
f044827e-5927-48dc-a1de-ca1991dcbf66,Réaumure,°Ré,TEMPERATURE,5/4 * ${value} + 273.15,EXPRESSION,b1313d6f-190f-4943-81f8-dbd82773ae4d
3e9c562b-0092-4902-a7a4-df1950b7d121,seconds,s,TIME,NULL,NULL,NULL
560ddffd-5529-4da1-b299-bb8c84efc6e1,centuries,NULL,TIME,3153600000,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
31d7774c-9825-4d67-b3a8-8425ba429d7e,days,d,TIME,86400,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
c8b3c0d2-c339-4750-b54a-09fbfaaf4dfb,decades,NULL,TIME,315360000,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
c748b431-fe0b-4ee2-ae80-ea67b3285598,femtoseconds,fs,TIME,1e-15,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
edfb07b0-f666-45f6-8e6f-3d8e153e894e,fortnights,NULL,TIME,1209600,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
bb4a5174-9eec-4d4b-b3e2-6f004abb48e5,hours,h,TIME,3600,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
670ae67b-aa35-4378-a605-adcb6b085913,microseconds,μs,TIME,0.000001,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
cca652a4-baf8-49f4-9055-94017c194ee7,millenia,NULL,TIME,31536000000,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
c9138bae-ad02-43b7-a93f-ef9891e45d58,milliseconds,ms,TIME,0.001,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
70a59241-9c2c-44ab-9107-28559e93c13b,minutes,min,TIME,60,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
cd7cba2e-eba2-45ac-a4cb-a793c3a559c7,months (Common),NULL,TIME,2628000,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
4f8b515c-96b5-4c7f-84c7-b22fdc28d6b3,months (Synodic),NULL,TIME,2551442.8896,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
53fb27ae-5c21-415b-bee0-f67f28506539,nanoseconds,ns,TIME,1e-9,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
5a52eb3d-cb9f-4dee-a586-4fb4b44bce50,picoseconds,ps,TIME,1e-12,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
53febd1e-f969-4641-9463-95f98be7375a,quarters (Common),NULL,TIME,7884000,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
7ce1017c-65ba-4b7c-bdf7-cf3be52e91d0,shakes,NULL,TIME,1e-8,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
398c31a1-8705-4bf2-a5f4-24ee13492901,weeks,NULL,TIME,604800,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
4e1e5974-1ab1-4eb4-a38d-331bd912e29c,years (Common),y,TIME,31536000,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
67976d29-6866-4b03-b467-f2d735f289b5,years (Average Gregorian),NULL,TIME,31556952,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
bd93caa2-14c8-48d9-ad60-c4d9d5911505,years (Julian),NULL,TIME,31557600,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
16a5263e-1c23-4bd6-84e7-00fe227abbe4,years (Leap),NULL,TIME,31622400,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
31c34ef6-a151-4c7e-ab50-5bdca38c40a9,years (Tropical),NULL,TIME,31556925.216,BIG_DECIMAL,3e9c562b-0092-4902-a7a4-df1950b7d121
aede7d01-c353-43bb-b8ad-90ffaf3d4f86,liters,l or L,VOLUME,NULL,NULL,NULL
5ba27186-9690-4a47-9424-740005098a17,acre foot,NULL,VOLUME,1233481.83754752,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
df0b5c79-4d92-44b9-9ab1-ba4a31c9fd19,barrels (oil),bbl,VOLUME,158.987294928,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
c7424b14-2aeb-4022-8c18-1621a4aaa4c7,bushels (UK),NULL,VOLUME,36.36872,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
35fb11c9-0968-428f-82a2-ab8c1f7cf205,bushels (US),NULL,VOLUME,35.23907016688,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
c2cd72f4-a7f3-4fdc-941b-e8f108c8a97f,centiliters,NULL,VOLUME,0.01,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
0211fd85-3536-4cfd-9a9b-93375a2b6dd8,cubic centimeters,cm³,VOLUME,0.001,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
2e63815e-cddc-43c6-8746-e7e09c6d78c9,cubic decimeters,dm³,VOLUME,1,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
17f8de48-e0f1-44af-ab20-0320780cd07e,cubic decameters,NULL,VOLUME,1000000,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
a5687da3-04e8-43f9-bb90-1931c8797f40,cubic feet,ft³,VOLUME,28.316846592,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
3e247052-c759-41c3-804a-c762ded681e6,cubic inches,NULL,VOLUME,0.016387064,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
0380a38a-2102-4a0c-9375-7904b3895ecd,cubic kilometers,NULL,VOLUME,1000000000000,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
e6d51e4a-6072-4059-85fa-9fb4e725249c,cubic meters,m³,VOLUME,1000,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
11f2eb82-616a-4268-baad-b356e473e3b9,cubic mile,NULL,VOLUME,4168181825000,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
b951f29c-216b-4cad-9f18-eb9eafc4c28d,cubic millimeters,NULL,VOLUME,0.000001,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
026799e1-19f5-4405-a32b-6e53682d1ebe,cubic yards,NULL,VOLUME,764.554857984,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
883c0395-7025-46f2-82d1-15bb7ce4fb37,cups,NULL,VOLUME,0.2365882365,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
c278a466-a474-402a-a0b4-24df0f58d508,deciliters,NULL,VOLUME,0.1,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
4db92376-8607-4cd3-8612-24e6e29e7d46,dram (imperial),NULL,VOLUME,0.0035516328125,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
d24cfe1b-b765-4ba2-bbcb-bb0ca128cc32,dram (US),NULL,VOLUME,0.0036966911953125,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
d7cc6963-0dd4-46ae-90d0-b8645bd46607,fluid ounces (imperial),fl oz,VOLUME,0.0284130625,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
f1bc6ad0-3bb1-477d-8b66-2cd346e5f8cf,fluid ounces (US),fl oz,VOLUME,0.0295735295625,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
7fd27419-ac17-48c5-8374-512a163909c9,gallons (imperial),gal,VOLUME,4.54609,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
d3d4f6af-533f-41f9-8680-29f9ce83e27b,"gallons, dry (US)",NULL,VOLUME,4.40488377086,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
d9b7c50e-81cf-45e1-815a-4fb249f0ecbe,"gallons, liquid (US)",gal,VOLUME,3.785411784,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
1ded7d43-7899-4b6d-9f35-0ede897f2fa2,gill (imperial),gi,VOLUME,0.1420653125,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
2e88fdc1-6696-44b9-8d58-483a9eccff06,gill (US),gi,VOLUME,0.11829411825,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
e361156e-31b9-42e3-a7cb-e838827bb9f5,kiloliters,kl,VOLUME,1000,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
804ab571-4e59-4ac2-9b0c-232a810b42b1,liters (1901-1964),NULL,VOLUME,1.000028,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
ec4086c7-5f2f-44c7-9321-65b5567a5713,milliliters,ml,VOLUME,0.001,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
7ed1ca1a-e55f-4b69-9d84-e3caa3ec2a76,microliters,µl,VOLUME,0.000001,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
1a1d8bb6-435f-4aeb-b95d-e25ba9365db6,nanoliters,nl,VOLUME,1e-9,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
c04f3d1f-f5af-49d4-85f1-161ec3be26f7,picoliters,pl,VOLUME,1e-12,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
e98e879d-48ce-493d-b419-6168d4a4bdb5,pints (imperial),pt,VOLUME,0.56826125,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
c7959fef-690d-4d04-9cc2-ac3dfdeab1cf,"pints, dry (US)",NULL,VOLUME,0.5506104713575,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
bdf01fdd-66f5-4cf7-8ae4-b506f955f621,"pints, liquid (US)",pt,VOLUME,0.473176473,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
7fd8b15f-19ed-4583-97af-839cce93a410,quarts (imperial),qt,VOLUME,1.1365225,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
f0d3309c-7025-4f0c-b84d-4e71fac9f9a8,"quarts, dry (US)",NULL,VOLUME,1.101220942715,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
3191676d-120e-434f-b711-4974ff3331c7,"quarts, liquid (US)",qt,VOLUME,0.946352946,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
3bc25e14-7516-4f23-ac31-e5d25fb79621,table spoons,NULL,VOLUME,0.01478676478125,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
b2a7e1cb-2aef-4a62-b62a-1320f7e3da18,tea spoons,NULL,VOLUME,0.00492892159375,BIG_DECIMAL,aede7d01-c353-43bb-b8ad-90ffaf3d4f86
